path,aspect-ratio,film,department,author-id,description
assets/images/artbook/coffee_brake/toon+dot shader,1.344827586,Coffee Brake,Surfacing,,
assets/images/artbook/coffee_brake/toonshader03,1.487895717,Coffee Brake,Surfacing,,
assets/images/artbook/coffee_brake/v3,1.641744548,Coffee Brake,Modelling,yihong-he,
assets/images/artbook/coffee_brake/vlcsnap-2023-11-22-10h26m12s512,1.777777778,Coffee Brake,FX,shaun-tan,
assets/images/artbook/coffee_brake/vlcsnap-2023-11-22-10h26m36s062,1.777777778,Coffee Brake,FX,shaun-tan,
assets/images/artbook/coffee_brake/window,1.777777778,Coffee Brake,Modelling,,
assets/images/artbook/memes/0080,1.777777778,Coffee Brake,Memes,,
assets/images/artbook/memes/alone_wars,1.777777778,Alone,Memes,,
assets/images/artbook/memes/combine01,2.299342105,Alone,Memes,,
assets/images/artbook/memes/combine02,2.379114642,Alone,Memes,,
assets/images/artbook/memes/gang,0.8665620094,Coffee Brake,Memes,jake-schatzman,
assets/images/artbook/memes/image (40),1.587339744,Alone,Memes,,
assets/images/artbook/memes/image (41),2.246346555,Alone,Memes,,
assets/images/artbook/memes/image (42),0.7057444314,Alone,Memes,,
assets/images/artbook/memes/image (43),1.58190709,Alone,Memes,,
assets/images/artbook/memes/image (44),2.213318284,Alone,Memes,,
assets/images/artbook/memes/image (45),2.391509434,Alone,Memes,,
assets/images/artbook/memes/image (46),0.8029978587,Alone,Memes,,
assets/images/artbook/memes/image (47),1.30619469,Alone,Memes,,
assets/images/artbook/memes/image (48),1.782407407,Coffee Brake,Memes,,
assets/images/artbook/memes/image (49),1.775055679,Coffee Brake,Memes,,
assets/images/artbook/memes/image (50),1.811142587,Coffee Brake,Memes,,
assets/images/artbook/memes/image (53),1.829501916,Coffee Brake,Memes,,
assets/images/artbook/memes/image (54),2.113347458,Coffee Brake,Memes,,
assets/images/artbook/memes/image (55),3.626728111,Coffee Brake,Memes,,
assets/images/artbook/memes/image (56),2.313891021,Coffee Brake,Memes,,
assets/images/artbook/memes/image (57),0.6669842782,Social,Memes,,
assets/images/artbook/memes/IMG_1613,1.557575758,Social,Memes,,
assets/images/artbook/memes/IMG_20230523_165825,0.75,Coffee Brake,Memes,,
assets/images/artbook/memes/may_fourth,1.777777778,Alone,Memes,,
assets/images/artbook/memes/poster,0.6396484375,Alone,Memes,brandon-doray,
assets/images/artbook/memes/posterfinal,0.6648106904,Social,Memes,nina-gao,
assets/images/artbook/memes/raph and jonah meme,1.777777778,Social,Memes,erin-mcmanus,
assets/images/artbook/memes/Screenshot 2023-07-21 113731,1.079152731,Coffee Brake,Memes,leinton-prem,
assets/images/artbook/memes/Screenshot from 2023-09-19 15-50-34,1.712612613,Alone,Memes,,
assets/images/artbook/memes/Selection_050,2.302139037,Alone,Memes,,
assets/images/artbook/memes/Selection_080,0.626984127,Alone,Memes,,
assets/images/artbook/memes/Selection_117,1.767123288,Coffee Brake,Memes,nathan-le,
